96;110;0;6;0;0;0;0;0;0;0;0;-18;9;-17;12;-20;11;-16;8;-17;8;-21;9;-29;8;-26;11;-20;16;-24;16;-24;15;-22;19;-18;22;-18;21;-13;19;-15;18;-8;13;-10;15;-5;9;-8;8;-5;1;-6;-1;-7;0;-9;-7;-10;-5;-10;-10;0;0;-8;-13;-11;-16;-9;-17;-11;-18;-8;-16;-10;-16;-12;-21;-13;-16;-12;-16;-10;-12;-8;-12;-4;-14;-3;-16;1;-17;1;-16;2;-18;5;-23;5;-22;4;-22;4;-23;3;-23;2;-21;4;-20;3;-19;6;-14;9;-16;0;0;0;0;0;0;0;0;0;0;1697968067.7081218;
96;110;0;6;0;0;0;0;0;0;0;0;-8;-4;-18;-12;-23;-9;-23;-9;-21;-11;-22;-6;-28;-13;-27;-3;-29;-4;-27;-2;-30;-4;-33;-2;-30;1;-27;2;-24;2;-24;2;-19;3;-14;1;-13;1;-7;-1;-11;-4;-7;-6;-8;-5;-6;-11;-1;-10;-1;-12;0;0;3;-14;6;-17;6;-19;8;-20;6;-19;7;-21;4;-24;3;-22;4;-21;3;-17;6;-13;8;-13;10;-13;12;-12;11;-12;15;-10;19;-9;19;-10;19;-13;19;-12;19;-12;18;-11;17;-11;16;-8;15;-6;16;-4;0;0;0;0;0;0;0;0;0;0;1697968067.73712;
96;110;0;6;0;0;0;0;0;0;0;0;10;3;15;1;17;-1;19;0;21;-1;24;3;28;-5;24;-2;25;-5;25;-5;27;-4;28;-6;26;-8;24;-7;22;-10;19;-9;14;-8;13;-6;11;-6;6;-4;6;1;6;4;5;5;2;6;1;8;1;11;0;0;1;15;-7;16;-3;18;2;19;-4;17;-2;20;-2;19;0;19;-1;18;0;14;-6;10;-9;10;-8;11;-9;14;-9;11;-14;9;-18;10;-20;10;-16;11;-19;12;-17;11;-17;10;-16;10;-15;7;-15;5;-14;3;0;0;0;0;0;0;0;0;0;0;1697968067.744119;
96;110;0;6;0;0;0;0;0;0;0;0;11;-1;8;0;14;4;15;0;16;2;20;5;22;1;19;-3;16;-3;17;-5;18;-6;23;-5;24;-8;20;-8;17;-9;15;-8;14;-2;9;-1;9;-5;7;-2;7;7;7;0;3;1;9;7;3;7;9;12;0;0;2;11;-2;13;4;14;3;16;6;16;3;17;2;15;2;13;6;11;-1;9;-1;11;-3;7;-4;9;-3;12;-4;11;-9;10;-11;14;-11;10;-8;16;-10;10;-9;13;-8;11;-10;13;-8;5;-8;12;-11;6;0;0;0;0;0;0;0;0;0;0;1697968067.751119;
96;110;0;6;0;0;0;0;0;0;0;0;-10;-2;-11;8;-14;5;-12;15;-12;7;-10;12;-18;12;-16;9;-12;17;-13;15;-14;16;-14;18;-11;18;-10;17;-6;15;-7;16;-6;9;-7;8;-5;8;-2;6;-2;2;-6;2;-5;0;-7;-2;-10;-5;-10;-8;0;0;-8;-10;-9;-11;-9;-13;-10;-14;-8;-12;-10;-14;-11;-16;-10;-12;-10;-12;-6;-10;-2;-10;-3;-11;-1;-12;1;-12;1;-12;5;-12;8;-16;8;-14;6;-15;4;-13;5;-14;6;-14;5;-13;7;-10;7;-10;9;-8;0;0;0;0;0;0;0;0;0;0;1697968067.7721236;
96;110;0;6;0;0;0;0;0;0;0;0;-18;-5;-14;3;-19;6;-21;12;-23;9;-26;8;-29;13;-30;13;-26;14;-24;15;-28;14;-29;17;-24;17;-23;16;-17;14;-20;18;-14;9;-14;9;-10;9;-9;6;-7;3;-8;-5;-8;-5;-6;-7;-9;-11;-9;-11;0;0;-6;-12;-4;-16;-4;-19;-8;-20;-4;-24;-7;-24;-7;-24;-8;-21;-8;-20;-5;-14;1;-14;4;-14;5;-17;6;-17;7;-15;11;-15;15;-17;13;-17;12;-19;13;-18;12;-20;11;-16;12;-16;13;-11;13;-9;15;-8;0;0;0;0;0;0;0;0;0;0;1697968067.7846372;
96;110;0;6;0;0;0;0;0;0;0;0;8;5;17;9;21;7;19;11;18;11;20;11;23;8;27;7;26;8;26;5;27;8;30;6;27;3;24;2;21;2;23;2;17;1;15;1;13;-1;8;1;6;2;3;4;2;8;0;8;-2;12;-2;12;0;0;-6;13;-10;16;-9;18;-10;12;-12;14;-12;20;-12;18;-7;19;-8;17;-5;13;-8;9;-11;9;-14;7;-14;7;-15;6;-17;3;-20;4;-23;3;-20;5;-20;3;-21;3;-18;4;-16;4;-16;0;-16;0;-15;-3;0;0;0;0;0;0;0;0;0;0;1697968067.7936373;
96;110;0;6;0;0;0;0;0;0;0;0;-6;12;-2;10;2;15;1;13;2;13;5;15;6;18;8;17;8;11;4;14;6;18;5;19;6;12;8;14;5;11;9;10;4;6;3;11;2;7;3;6;-2;2;-4;1;-3;0;-6;2;-8;1;-11;1;0;0;-11;-2;-7;-3;-13;-7;-13;-8;-14;-7;-15;-7;-15;-5;-13;-4;-15;-5;-9;-1;-5;-6;-5;-9;-5;-9;-5;-10;-4;-10;-1;-11;2;-14;1;-12;3;-13;2;-12;1;-12;4;-13;3;-12;2;-10;3;-9;4;-9;0;0;0;0;0;0;0;0;0;0;1697968067.8006365;
96;110;0;6;0;0;0;0;0;0;0;0;18;-3;14;-1;23;-3;24;-6;21;-5;21;-5;28;-10;24;-16;25;-9;23;-14;24;-11;29;-13;24;-14;21;-13;18;-13;20;-13;15;-12;13;-7;13;-9;8;-6;7;1;6;4;6;1;7;6;9;13;8;9;0;0;7;14;1;15;1;16;7;19;7;19;7;20;7;20;11;19;8;15;4;14;0;10;-3;13;-3;14;-4;15;-6;15;-10;13;-12;19;-10;19;-12;20;-8;21;-10;18;-8;18;-7;15;-11;12;-11;10;-14;11;0;0;0;0;0;0;0;0;0;0;1697968067.8196375;
96;110;0;6;0;0;0;0;0;0;0;0;-12;-8;-15;-10;-13;-7;-16;-4;-17;-8;-21;-5;-18;-7;-20;-1;-21;-4;-21;-3;-22;-4;-24;-3;-23;-2;-20;-1;-16;0;-17;-3;-11;2;-10;-2;-12;0;-9;0;-6;-2;-2;-3;-6;-9;-1;-8;1;-10;2;-9;0;0;0;-11;4;-11;7;-14;5;-16;6;-17;3;-16;5;-17;3;-18;-2;-14;1;-9;5;-9;7;-9;9;-8;9;-7;11;-5;13;-2;17;-3;15;-3;17;-6;14;-2;15;-4;15;-6;13;-5;12;-2;12;-1;12;0;0;0;0;0;0;0;0;0;0;0;1697968067.82664;
